,DNA_UNIQUE_ID,Variety Group (Tree)1,days_to_mat,source_country,stdardized_mat,fast
290,IRIS 313-11089,Indica,115.0,KAMPUCHEA,-0.694743976992,False
291,IRIS 313-12097,Indica,202.0,KAMPUCHEA,2.95308374941,False
292,IRIS 313-10557,Indica,193.0,KAMPUCHEA,2.57572226047,False
293,IRIS 313-10903,Indica,169.0,KAMPUCHEA,1.56942495664,False
294,IRIS 313-10905,Indica,169.0,KAMPUCHEA,1.56942495664,False
295,IRIS 313-10906,Indica,169.0,KAMPUCHEA,1.56942495664,False
296,IRIS 313-10909,Indica,178.0,KAMPUCHEA,1.94678644557,False
297,IRIS 313-10910,Indica,170.0,KAMPUCHEA,1.61135401096,False
298,IRIS 313-10911,Indica,162.0,KAMPUCHEA,1.27592157635,False
299,IRIS 313-10913,Indica,169.0,KAMPUCHEA,1.56942495664,False
300,IRIS 313-11084,Indica,141.0,KAMPUCHEA,0.395411435496,False
301,IRIS 313-10916,Temperate japonica,178.0,KAMPUCHEA,1.94678644557,False
302,IRIS 313-12164,Tropical japonica,103.0,KAMPUCHEA,-1.19789262891,True
303,IRIS 313-12325,Indica,159.0,CAMEROON,1.15013441337,False
304,IRIS 313-11763,Indica,122.0,CAMEROON,-0.401240596707,False
305,IRIS 313-10444,Intermediate type,128.0,CENTRAL AMERICA,-0.149666270748,False
306,IRIS 313-9926,Indica,175.0,CHAD,1.8209992826,False
307,IRIS 313-10258,Basmati/sadri,103.0,CHILE,-1.19789262891,True
308,IRIS 313-10258,Basmati/sadri,103.0,CHILE,-1.19789262891,True
309,IRIS 313-8380,Aus/boro,105.0,CHINA,-1.11403452026,True
310,IRIS 313-10164,Aus/boro,114.0,CHINA,-0.736673031319,False
311,IRIS 313-8889,Indica,111.0,CHINA,-0.862460194298,False
312,IRIS 313-9065,Indica,113.0,CHINA,-0.778602085645,False
313,IRIS 313-8412,Indica,118.0,CHINA,-0.568956814013,False
314,IRIS 313-9204,Indica,101.0,CHINA,-1.28175073756,True
315,IRIS 313-11584,Indica,112.0,CHINA,-0.820531139972,False
316,IRIS 313-10170,Indica,108.0,CHINA,-0.988247357277,False
317,IRIS 313-8433,Indica,114.0,CHINA,-0.736673031319,False
318,IRIS 313-9253,Indica,95.0,CHINA,-1.53332506352,True
319,IRIS 313-10191,Indica,108.0,CHINA,-0.988247357277,False
320,IRIS 313-10196,Indica,129.0,CHINA,-0.107737216422,False
321,IRIS 313-10178,Indica,105.0,CHINA,-1.11403452026,True
322,IRIS 313-9482,Indica,113.0,CHINA,-0.778602085645,False
323,IRIS 313-11578,Indica,110.0,CHINA,-0.904389248625,False
324,IRIS 313-10129,Indica,102.0,CHINA,-1.23982168324,True
325,IRIS 313-9017,Indica,135.0,CHINA,0.143837109537,False
326,IRIS 313-9111,Indica,89.0,CHINA,-1.78489938948,True
327,IRIS 313-10224,Indica,116.0,CHINA,-0.652814922666,False
328,IRIS 313-9727,Indica,102.0,CHINA,-1.23982168324,True
329,IRIS 313-11576,Indica,102.0,CHINA,-1.23982168324,True
330,IRIS 313-10226,Indica,105.0,CHINA,-1.11403452026,True
331,IRIS 313-9723,Indica,126.0,CHINA,-0.233524379401,False
332,IRIS 313-10211,Indica,107.0,CHINA,-1.0301764116,True
333,IRIS 313-8645,Indica,105.0,CHINA,-1.11403452026,True
334,IRIS 313-10168,Indica,112.0,CHINA,-0.820531139972,False
335,IRIS 313-11726,Indica,134.0,CHINA,0.101908055211,False
336,IRIS 313-8914,Indica,97.0,CHINA,-1.44946695487,True
337,IRIS 313-10154,Indica,100.0,CHINA,-1.32367979189,True
338,IRIS 313-11571,Indica,102.0,CHINA,-1.23982168324,True
339,IRIS 313-8405,Indica,118.0,CHINA,-0.568956814013,False
340,IRIS 313-9730,Indica,111.0,CHINA,-0.862460194298,False
341,IRIS 313-11623,Indica,107.0,CHINA,-1.0301764116,True
342,IRIS 313-11579,Indica,116.0,CHINA,-0.652814922666,False
343,IRIS 313-9324,Indica,112.0,CHINA,-0.820531139972,False
344,IRIS 313-11572,Indica,127.0,CHINA,-0.191595325075,False
345,IRIS 313-11586,Indica,105.0,CHINA,-1.11403452026,True
346,IRIS 313-10239,Indica,103.0,CHINA,-1.19789262891,True
347,IRIS 313-11729,Indica,97.0,CHINA,-1.44946695487,True
348,IRIS 313-9469,Indica,112.0,CHINA,-0.820531139972,False
349,IRIS 313-10221,Indica,102.0,CHINA,-1.23982168324,True
350,IRIS 313-11654,Indica,102.0,CHINA,-1.23982168324,True
351,IRIS 313-11575,Indica,104.0,CHINA,-1.15596357458,True
352,IRIS 313-10179,Indica,113.0,CHINA,-0.778602085645,False
353,IRIS 313-9372,Indica,120.0,CHINA,-0.48509870536,False
354,IRIS 313-8940,Indica,112.0,CHINA,-0.820531139972,False
355,IRIS 313-11666,Indica,106.0,CHINA,-1.07210546593,True
356,IRIS 313-9570,Indica,116.0,CHINA,-0.652814922666,False
